Hom,medLongSeg,CV,nSeg,nSegNum,Base,BaseNum,L,Lprop,gurobiMinMax,gurobiT1,gurobiT2,greedyMinMax,greedyT1,greedyT2,improvedMinMax,improvedT1,improvedT2,errorGreedyAbs,errorGreedy,errorImprovedAbs,errorImproved,kGreedy,kImproved
0,10,0.2,0,18,0,0.83055199,1,0.648976132,2100.593367,1,1,2398.942822,1,1,2398.942822,1,1,298.3494554,0.142031038,298.3494554,0.142031038,1.142031038,1.142031038
0,10,0.2,0,17,1,1.273752013,0,0.012256836,3692.70349,1,2,3692.70349,1,2,3692.70349,1,2,0,0,0,0,1,1
0,10,0.2,0,15,0,0.556405354,1,0.546280634,1251.073838,1,1,1775.073838,0,1,1260.980004,1,1,524,0.418840187,9.906165901,0.00791813,1.418840187,1.00791813
0,10,0.2,0,17,1,1.225755167,0,0.209577293,2124.882896,1,1,2124.882896,1,1,2124.882896,1,1,0,0,0,0,1,1
0,10,0.2,0,16,0,0.851224105,1,0.8915646,1540.734274,1,1,2114.796376,0,1,1540.734274,1,1,574.0621018,0.372589947,-2.27E-13,-1.48E-16,1.372589947,1
0,10,0.2,0,17,1,1.757936508,1,0.881269619,2340.240075,1,1,2409.319381,1,1,2409.319381,1,1,69.07930612,0.029518043,69.07930612,0.029518043,1.029518043,1.029518043
0,10,0.2,0,15,0,0.814388489,1,0.578634199,1852.739743,1,1,2138.63405,1,1,2138.63405,1,1,285.8943062,0.15430894,285.8943062,0.15430894,1.15430894,1.15430894
0,10,0.2,0,14,0,0.886091127,0,0.094004696,2302.439043,1,1,2303.56245,1,1,2303.56245,1,1,1.123406742,0.00048792,1.123406742,0.00048792,1.00048792,1.00048792
0,10,0.2,0,17,0,0.595,0,0.138800327,1892.550177,1,1,1947.750859,1,1,1947.750859,1,1,55.2006821,0.029167355,55.2006821,0.029167355,1.029167355,1.029167355
0,10,0.2,0,16,1,1.807971014,1,0.921605399,2498.382036,1,1,3002.681012,0,1,2517.598552,1,1,504.2989757,0.201850225,19.21651566,0.007691584,1.201850225,1.007691584
0,10,0.2,0,18,0,0.425352113,0,0.330484888,1561.171082,1,1,1787.585949,1,1,1622.530271,2,1,226.4148664,0.145028863,61.35918862,0.039303308,1.145028863,1.039303308
0,10,0.2,0,18,1,1.266568483,1,0.633844369,2360.140702,1,1,2560.267616,1,1,2560.267616,1,1,200.1269141,0.084794484,200.1269141,0.084794484,1.084794484,1.084794484
